Authors,Title,Publication,Volume,Issue,Pages,Year,Publisher
"Santas, LA; Lazarakis, DM; ",Using drone brood in the control of the varroa disease of bees in Greece,Entomologia Hellenica,2,,63-68,1984,
"Calis, JNM; Boot, WJ; Beetsma, J; van Den Eijnde, JHPM; De Ruijter, A; van Der Steen, JJM; ",Control of varroa by combining trapping in honey bee worker brood with formic acid treatment of the capped brood outside the colony: putting knowledge on brood cell invasion into practice,Journal of Apicultural Research,37,3,205-215,1998,Taylor & Francis
"Rath, W; Drescher, W; ",Response of Apis cerana Fabr towards brood infested with Varroa jacobsoni Oud and infestation rate of colonies in Thailand,Apidologie,21,4,311-321,1990,EDP Sciences
"Bogdanov, S; Kilchenmann, V; Imdorf, A; ",Acaricide residues in some bee products,Journal of apicultural research,37,2,57-67,1998,Taylor & Francis
"van Veen, Johan; Calderon Fallas, Rafael A; Murillo, Ana Cubero; Arce, Henry G Arce; ","Varroa jacobsoni in Costa Rica: detection, spread and treatment with formic acid",Bee world,79,1,05-Oct,1998,Taylor & Francis
"BüChler, Ralph; ","Varroa tolerance in honey bees—occurrence, characters and breeding",Bee World,75,2,54-70,1994,Taylor & Francis
"Delaplane, Keith S; ",Effects of Terramycin antibiotic and Apistan acaricide on colonies of honey bees (Hymenoptera: Apidae) infested with Varroa jacobsoni (Parasitiformes: Varroidae),Journal of economic entomology,88,5,1206-1210,1995,"Oxford University Press Oxford, UK"
"Bogdanov, S; Kilchenmann, V; Imdorf, A; ","Acaricide residues in honey, beeswax and propolis","Swiss Bee Research Centre, Dairy Research Station, Liebefeld, Bern, Switzerland",11,,,1999,
"Békési, L; V. Ball, Brenda; Dobos-Kovács, M; Bakonyi, T; Rusvai, M; ",Occurrence of acute paralysis virus of the honey bee (Apis mellifera) in a Hungarian apiary infested with the parasitic mite Varroa jacobsoni,Acta Veterinaria Hungarica,47,3,319-324,1999,Akadémiai Kiadó
"Calderone, Nicholas W; Spivak, Marla; ",Plant extracts for control of the parasitic mite Varroa jacobsoni (Acari: Varroidae) in colonies of the western honey bee (Hymenoptera: Apidae),Journal of Economic Entomology,88,5,1211-1215,1995,"Oxford University Press Oxford, UK"
"Martin, Stephen; ",A population model for the ectoparasitic mite Varroa jacobsoni in honey bee (Apis mellifera) colonies,Ecological modelling,109,3,267-281,1998,Elsevier
"Kast, Christina; Kilchenmann, Verena; Charrière, Jean‐Daniel; ",Long‐term monitoring of lipophilic acaricide residues in commercial Swiss beeswax,Pest Management Science,77,9,4026-4033,2021,Wiley Online Library
"Calderone, Nicholas W; Nasr, Medhat E; ",Evaluation of a formic acid formulation for the fall control of Varroa jacobsoni (Acari: Varroidae) in colonies of the honey bee Apis mellifera (Hymenoptera: Apidae) in a temperate climate,Journal of Economic Entomology,92,3,526-533,1999,"Oxford University Press Oxford, UK"
"Imdorf, Anton; Charrière, Jean-Daniel; Rosenkranz, Peter; ",Varroa control with formic acid,FAIR CT97-3686,24,,,1999,
"Calatayud, F; Verdu, MJ; ",Number of adult female mites Varroa jacobsoni Oud. on hive debris from honey bee colonies artificially infested to monitor mite population increase (Mesostigmata: Varroidae),Experimental & applied acarology,19,,181-188,1995,Kluwer Academic Publishers
"Marchetti, Stefano; Barbattini, Renzo; d'Agaru, Mauro; ",Comparative effectiveness of treatments used to control Varroa jacobsoni Oud,Apidologie,15,4,363-378,1984,EDP Sciences
"Korta, E; Bakkali, A; Berrueta, LA; Gallo, B; Vicente, F; Bogdanov, S; ",Determination of amitraz and other acaricide residues in beeswax,Analytica Chimica Acta,475,01-Feb,97-103,2003,Elsevier
"Bendifallah, Leila; Belguendouz, Rachida; Hamoudi, Latifa; Arab, Karim; ",Biological activity of the Salvia officinalis L.(Lamiaceae) essential oil on Varroa destructor infested honeybees,Plants,7,2,44,2018,MDPI
"Al-Ghamdi, AHMAD A; ",Evaluation of the relative efficacy of different acaricides against Varroa destructor on Apis mellifera carnica,ANNALS OF AGRICULTURAL SCIENCE-CAIRO-,52,2,501,2007,AIN SHAMS UNIVERSITY
"Strachecka, Aneta; Borsuk, Grzegorz; Olszewski, Krzysztof; Paleolog, Jerzy; ",A new detection method for a newly revealed mechanism of pyrethroid resistance development in Varroa destructor,Parasitology research,114,,3999-4004,2015,Springer Berlin Heidelberg
"Calatayud, F; Verdú, MJ; ",Survival of the mite Varroa jacobsoni Oud.(Mesostigmata: Varroidae) in broodless colonies of the honey bee Apis mellifera L.(Hymenoptera: Apidae),Experimental & applied acarology,18,,603-612,1994,Kluwer Academic Publishers
"Sergio, R RUFFINENGO; Maggi, Matias D; Fuselli, Sandra; Fiorella, G; Negri, Pedro; Brasesco, Constanza; Satta, Alberto; Floris, Ignazio; Eguaras, Martin J; ",Bioactivity of microencapsulated essentials oils and perspectives of their use in the control of Varroa destructor,Bull. Insectology,67,,81-86,2014,
"Chaimanee, Veeranan; Evans, Jay D; Chen, Yanping; Jackson, Caitlin; Pettis, Jeffery S; ",Sperm viability and gene expression in honey bee queens (Apis mellifera) following exposure to the neonicotinoid insecticide imidacloprid and the organophosphate acaricide coumaphos,Journal of insect physiology,89,,01-Aug,2016,Elsevier
"Fernandez Ferrari, Maria Celeste; Favaro, Riccardo; Mair, Sieglinde; Zanotelli, Livia; Malagnini, Valeria; Fontana, Paolo; Angeli, Sergio; ",Application of Metarhizium anisopliae as a potential biological control of Varroa destructor in Italy,Journal of Apicultural Research,59,4,528-538,2020,Taylor & Francis
"Calderone, Nicholas W; ",Evaluation of formic acid and a thymol-based blend of natural products for the fall control of Varroa jacobsoni (Acari: Varroidae) in colonies of Apis mellifera (Hymenoptera: Apidae),Journal of Economic Entomology,92,2,253-260,1999,"Oxford University Press Oxford, UK"
"Karazafiris, Emmanuel; Tananaki, Chrysoula; Menkissoglu‐Spiroudi, Urania; Thrasyvoulou, Andreas; ",Residue distribution of the acaricide coumaphos in honey following application of a new slow‐release formulation,Pest Management Science: formerly Pesticide Science,64,2,165-171,2008,Wiley Online Library
"Calderon, RA; Ortiz, RA; Arce, HG; Van Veen, JW; Quan, J; ",Effectiveness of formic acid on varroa mortality in capped brood cells of Africanized honey bees,Journal of Apicultural Research,39,03-Apr,177-179,2000,Taylor & Francis
"Fathy,  HM; Fouly, AH; ","USE OF PEPPERMENT OIL AS ACARICID AGAINST THE PARASITIC MITE, Varroa jacobsoni Ouds INFESTING HONEY BEE COLONIES IN MANSOURA, EGYPT.",Journal of Plant Protection and Pathology,25,4,2369-2376,2000,"Mansoura University, Faculty of Agriculture"
"Gracia, María Jesús; Moreno, Carlos; Ferrer, Montserrat; Sanz, Alfredo; Peribáñez, Miguel Ángel; Estrada, Rosa; ",Field efficacy of acaricides against Varroa destructor,Plos one,12,2,e0171633,2017,"Public Library of Science San Francisco, CA USA"
"Bakar, Muhammad Abu; Aqueel, Muhammad Anjum; Raza, Abu Bakar Muhammad; Arshad, Muhammad; Mahmood, Rashid; Qadir, Ziyad Abdul; ",Comparative efficacy of five commercial synthetic acaricides against Varroa destructor (Anderson and Trueman) in Apis mellifera L. colonies,Pakistan Journal of Zoology,50,3,,2018,AsiaNet Pakistan (Pvt) Ltd.
"BUREN, NICOLETTE WM van; MARIËN, ADRIANA GH; OUDEJANS, ROB CHM; VELTHUIS, HAYO HW; ","Perizin, an acaricide to combat the mite Varroa jacobsoni: its distribution in and influence on the honeybee Apis mellifera",Physiological Entomology,17,3,288-296,1992,Wiley Online Library
"Gregorc, Aleš; Planinc, Ivo; ",Acaricidal effect of oxalic acid in honeybee (Apis mellifera) colonies,Apidologie,32,4,333-340,2001,EDP Sciences
"EVROPI, PREKINITVI ZALEGANJA V JUŽNI; ",DELOVANJE ZDRAVILA VARROMED® ZA ZATIRANJE VAROJ (Varroa destructor) POZIMI OB UMETNI,,,,,,
"Bogdanov, Stefan; ",Quality and standards of pollen and beeswax,Apiacta,38,11,334-341,2004,
"Iglesias, A; Mitton, G; Szawarski, Nicolás; Cooley, H; Ramos, Facundo; Arcerito, F Meroi; Brasesco, C; Ramirez, C; Gende, L; Eguaras, M; ",Essential oils from Humulus lupulus as novel control agents against Varroa destructor,Industrial Crops and Products,158,,113043,2020,Elsevier
"Jamal, Muhammad; Aziz, Muhmmad Asif; Naeem, Muhammad; Iqbal, Zahid; Khalid, Azeem; Siddique, Farva; Khan, Khalid Ali; Ghramh, Hamed A; ",Detection of flumethrin acaricide residues from honey and beeswax using high performance liquid chromatography (HPLC) technique,Journal of King Saud University-Science,32,3,2229-2235,2020,Elsevier
"Planinc, A Gregorc I; ",Dynamics of falling Varroa mites in honeybee (Apis mellifera) colonies following oxalic acid treatments,Acta Veterinaria Brno,73,3,385-391,2004,University of Veterinary Sciences Brno
"Koumad, S; Berkani, ML; ",Comparative Study of the Activity Acaricide of Four Essentials Oils on Varroa destructor Mite of the Honey Bee Apis mellifera in the Center of Algeria,American-Eurasian Journal of Scientific Research,11,6,447-452,2016,
"Koç, Nafiye; İnak, Emre; Jonckheere, Wim; Van Leeuwen, Thomas; ",Genetic analysis and screening of pyrethroid resistance mutations in Varroa destructor populations from Turkey,Experimental and Applied Acarology,84,2,433-444,2021,Springer
"Sabová, Lucia; Maruščáková, Ivana Cingeľová; Koleničová, Simona; Mudroňová, Dagmar; Holečková, Beata; Sabo, Rastislav; Sobeková, Anna; Majchrák, Tomáš; Ratvaj, Marek; ",The adverse effects of synthetic acaricide tau-fluvalinate (tech.) on winter adult honey bees,Environmental Toxicology and Pharmacology,92,,103861,2022,Elsevier
"Chamorro, Ester R; Sequeira, Alfredo F; Velasco, Gustavo A; Zalazar, María F; Ballerini, Griselda A; ",Evaluation of Tagetes minuta L. essential oils to control Varroa destructor (Acari: Varroidae),J. Argent. Chem. Soc,98,,39-47,2011,
"MI, Smodiš Škerl; Rivera-Gomis, J; Gajger, Tlak; Bubnič, J; Talakić, G; Formato, G; Baggio, A; Mutinelli, F; Tollenaers, W; Laget, D; ",Efficacy and Toxicity of VarroMed® Used for Controlling Varroa Destructor Infestation in Different Seasons and Geographical Areas,,,,,2021,
"Sakofski, F; Koeniger, N; Fuchs, S; ",Seasonality of honey bee colony invasion by Varroa jacobsoni Oud,Apidologie,21,6,547-550,1990,EDP Sciences
"Kaskinova, MD; Gaifullina, LR; Saltykova, ES; Poskryakov, AV; Nikolenko, AG; ",Genetic markers for the resistance of honey bee to Varroa destructor,Vavilov Journal of Genetics and Breeding,24,8,853,2020,"Institute of Cytology and Genetics, Siberian Branch of the Russian Academy …"
"Imdorf, Anton; Bogdanov, Stefan; FAM, Liebefeld; ",Use of Essential Oils for the Control of Varroa jacobsoni,FAIR CT97-3686,,,17,1999,
"Milani, N; Della Vedova, G; ",Determination of the LC50 in the mite Varroa jacobsoni of the active substances in Perizin® and Cekafix®,Apidologie,27,3,175-184,1996,EDP Sciences
"Toomemaa, Kalle; Kaart, Tanel; ",Caging the queen with and without a comb section to achieve high efficacy of Varroa destructor control,Journal of Apicultural Research,,,01-Sep,2022,Taylor & Francis
"Benito-Murcia, María; Bartolomé, Carolina; Maside, Xulio; Bernal, José; Bernal, José Luis; Del Nozal, María Jesús; Meana, Aránzazu; Botías, Cristina; Martín-Hernández, Raquel; Higes, Mariano; ",Residual tau-fluvalinate in honey bee colonies is coupled with evidence for selection for Varroa destructor resistance to pyrethroids,Insects,12,8,731,2021,MDPI
"Gregorc, Aleš; Alburaki, Mohamed; Werle, Chris; Knight, Patricia R; Adamczyk, John; ",Brood removal or queen caging combined with oxalic acid treatment to control varroa mites (Varroa destructor) in honey bee colonies (Apis mellifera),Apidologie,48,,821-832,2017,Springer Paris
"Sahebzadeh, Najmeh; Ghaffari-Moghaddam, Mansour; Sabbagh, Syed-Kazem; ",Toxicity of chitosan derivatives to Varroa destructor (Anderson and Trueman) and their effects on immune gene expression in honey bees,Journal of Apicultural Research,,,Jan-13,2021,Taylor & Francis
"Bahreini, R; Tahmasebi, GH; Nowzari, J; Talebi, M; ",A study of the efficacy of formic acid in controlling Varroa destructor and its correlation with temperature in Iran,Journal of Apicultural Research,43,4,158-161,2004,Taylor & Francis
"Westcott, Lynn C; Winston, Mark L; ",Chemical acaricides in Apis mellifera (Hymenoptera: Apidae) colonies; do they cause nonlethal effects?,The Canadian Entomologist,131,3,363-371,1999,Cambridge University Press
"Sofou, Kalliopi; Isaakidis, Demosthenis; Spyros, Apostolos; Büttner, Anita; Giannis, Athanassios; Katerinopoulos, Haralambos E; ","Use of costic acid, a natural extract from Dittrichia viscosa, for the control of Varroa destructor, a parasite of the European honey bee",Beilstein journal of organic chemistry,13,1,952-959,2017,Beilstein-Institut
"Nowar, EE; Khattab, MM; Omar, RE; Mashaal Toka, F; ",Evaluation of some natural components for controlling Varroa mites in honeybee colonies,Middle East J. Agric. Res,7,,264-268,2018,
"Fassbinder, Carol; Grodnitzky, Justin; Coats, Joel; ",Monoterpenoids as possible control agents for Varroa destructor,Journal of apicultural research,41,03-Apr,83-88,2002,Taylor & Francis
"Gashout, Hanan A; Guzmán-Novoa, Ernesto; ","Acute toxicity of essential oils and other natural compounds to the parasitic mite, Varroa destructor, and to larval and adult worker honey bees (Apis mellifera L.)",Journal of apicultural research,48,4,263-269,2009,Taylor & Francis
"Tlak Gajger, Ivana; Svečnjak, Lidija; Bubalo, Dragan; Žorat, Tomislav; ",Control of Varroa destructor mite infestations at experimental apiaries situated in Croatia,Diversity,12,1,12,2019,MDPI
"Girişgin, Ahmet Onur; Aydın, Levent; ","Efficacies of formic, oxalic and lactic acids against Varroa destructor in naturally infested honeybee (Apis mellifera L.) colonies in Turkey",Kafkas Üniversitesi Veteriner Fakültesi Dergisi,16,6,941-945,2010,
"Alonso-Prados, Elena; González-Porto, Amelia-Virginia; Bernal, José Luis; Bernal, José; Martín-Hernández, Raquel; Higes, Mariano; ",A case report of chronic stress in honey bee colonies induced by pathogens and acaricide residues,Pathogens,10,8,955,2021,MDPI
"Shahrouzi, Reza; ",The efficacy of Apivar® and Bayvarol® and CheckMite+® in the control of Varroa destructor in Iran,,,,,2018,Citeseer
"Gregorc, Aleš; Poklukar, Janez; ",Rotenone and oxalic acid as alternative acaricidal treatments for Varroa destructor in honeybee colonies,Veterinary parasitology,111,4,351-360,2003,Elsevier
"Trouiller, Jérôme; ",Monitoring Varroa jacobsoni resistance to pyrethroids in western Europe,Apidologie,29,6,537-546,1998,EDP Sciences
"Ariana, Ardeshir; Ebadi, Rahim; Tahmasebi, Gholamhosein; ",Laboratory evaluation of some plant essences to control Varroa destructor (Acari: Varroidae),Experimental & applied acarology,27,,319-327,2002,Kluwer Academic Publishers
"Lupo, Azaria; Gerling, Dan; ",Control of the Varroa mite in honeybee colonies by integrating chemotherapy with conventional requeening practice,Journal of Apicultural Research,26,2,98-103,1987,Taylor & Francis
"Fernandez-Muino, MA; Sancho, MT; Muniategui, S; Huidobro, JF; Simal-Lozano, J; ",Acaricide residues in honey: analytical methods and levels found,Journal of food protection,58,4,449-454,1995,Elsevier
"Calis, JNM; Boot, WJ; Beetsma, J; ",Model evaluation of methods for Varroa jacobsoni mite control based on trapping in honey bee brood,Apidologie,30,02-Mar,197-207,1999,EDP Sciences
"Moscatelli, Francesca; Pietropaoli, Marco; Brocherel, Giuseppina; Martini, Andrea; Formato, Giovanni; ",Phosphorus 30 CH to control Varroa population in Apis mellifera colonies,European Journal of Integrative Medicine,8,5,861-864,2016,Elsevier
"Mancuso, Teresina; Croce, Luca; Vercelli, Monica; ",Total brood removal and other biotechniques for the sustainable control of Varroa mites in honey bee colonies: Economic impact in beekeeping farm case studies in Northwestern Italy,Sustainability,12,6,2302,2020,MDPI
"van Dooremalen, Coby; van Langevelde, Frank; ",Can colony size of honeybees (Apis mellifera) be used as predictor for colony losses due to Varroa destructor during winter?,Agriculture,11,6,529,2021,MDPI
"Morsy, Amany R; Nowar, Elhosseny E; ","Evaluation of acaricide toxicity to the parasitic mite (Varroa destructor), honeybee workers (Apis mellifera L.) and their residues in honey and beeswax.",,,,,,
"Sakofski, F; Koeniger, N; ",Natural transfer of Varroa jacobsoni among honeybee colonies in autumn,European research on varroatosis control,,,81-83,2021,CRC Press
